Date,Peak Load (MW),Peak Load Hour,Wind @ Peak Load (MW),Max Wind Output (MW),Max Wind Time,Penetration @ Max Wind (%),Source_File,Curtailment Proxy (MW),Wind Utilization % @ Peak,Year,Month,DayOfWeek,Is_Weekend,Load-Wind Ratio,High Wind Day,Curtailment Severity
2012-04-13,41174.0,17.0,6544.0,7925.0,18:40:00,20.08,ERCOTWindIntegrationReport_2012.xlsx,1381.0,82.57,2012,4,4,0,6.290909090909091,1,Low
2012-04-14,38765.0,15.0,7145.0,7510.0,07:31:00,24.76,ERCOTWindIntegrationReport_2012.xlsx,365.0,95.14,2012,4,5,1,5.424713126224462,1,None
2012-04-15,36454.0,21.0,2226.0,7408.0,01:30:00,24.61,ERCOTWindIntegrationReport_2012.xlsx,5182.0,30.05,2012,4,6,1,16.36910642119443,0,High
2012-04-16,34628.0,21.0,1907.0,3378.0,08:18:00,10.86,ERCOTWindIntegrationReport_2012.xlsx,1471.0,56.45,2012,4,0,0,18.148846960167713,0,Low
2012-04-17,39776.0,18.0,877.0,5891.0,23:26:00,19.91,ERCOTWindIntegrationReport_2012.xlsx,5014.0,14.89,2012,4,1,0,45.30296127562642,0,High
2012-04-18,40642.0,18.0,5043.0,6511.0,23:59:00,23.12,ERCOTWindIntegrationReport_2012.xlsx,1468.0,77.45,2012,4,2,0,8.057494052339413,0,Low
2012-04-19,41368.0,18.0,2917.0,6572.0,00:05:00,23.67,ERCOTWindIntegrationReport_2012.xlsx,3655.0,44.39,2012,4,3,0,14.176833447566827,0,Medium
2012-04-20,35312.0,14.0,5456.0,6605.0,10:43:00,19.06,ERCOTWindIntegrationReport_2012.xlsx,1149.0,82.6,2012,4,4,0,6.470954737035001,1,Low
2012-04-21,32427.0,18.0,667.0,3879.0,23:58:00,14.77,ERCOTWindIntegrationReport_2012.xlsx,3212.0,17.2,2012,4,5,1,48.543413173652695,0,Medium
2012-04-22,37974.0,18.0,1309.0,5253.0,21:45:00,14.88,ERCOTWindIntegrationReport_2012.xlsx,3944.0,24.92,2012,4,6,1,28.987786259541984,0,Medium
2012-04-23,37911.0,18.0,1306.0,4611.0,00:00:00,16.65,ERCOTWindIntegrationReport_2012.xlsx,3305.0,28.32,2012,4,0,0,29.00612088752869,0,Medium
2012-04-24,42638.0,18.0,2958.0,6189.0,21:38:00,16.09,ERCOTWindIntegrationReport_2012.xlsx,3231.0,47.79,2012,4,1,0,14.40959783710713,0,Medium
2012-04-25,48747.0,18.0,2744.0,6361.0,23:35:00,18.17,ERCOTWindIntegrationReport_2012.xlsx,3617.0,43.14,2012,4,2,0,17.75846994535519,0,Medium
2012-04-26,48577.0,17.0,1348.0,6238.0,00:11:00,18.82,ERCOTWindIntegrationReport_2012.xlsx,4890.0,21.61,2012,4,3,0,36.00963676797628,0,Medium
2012-04-27,46753.0,17.0,4964.0,6305.0,22:58:00,17.15,ERCOTWindIntegrationReport_2012.xlsx,1341.0,78.73,2012,4,4,0,9.416515609264854,0,Low
2012-04-28,44344.0,17.0,2560.0,6336.0,20:04:00,15.76,ERCOTWindIntegrationReport_2012.xlsx,3776.0,40.4,2012,4,5,1,17.31511128465443,0,Medium
2012-04-29,42680.0,18.0,4139.0,5943.0,00:12:00,18.19,ERCOTWindIntegrationReport_2012.xlsx,1804.0,69.64,2012,4,6,1,10.309178743961352,0,Low
2012-04-30,46417.0,17.0,4783.0,6691.0,22:32:00,17.15,ERCOTWindIntegrationReport_2012.xlsx,1908.0,71.48,2012,4,0,0,9.70255016722408,0,Low
2012-05-01,47414.0,17.0,6118.0,7067.0,17:50:00,15.05,ERCOTWindIntegrationReport_2012.xlsx,949.0,86.57,2012,5,1,0,7.7486517404804705,1,Low
2012-05-02,48949.0,18.0,4164.0,6594.0,01:55:00,22.17,ERCOTWindIntegrationReport_2012.xlsx,2430.0,63.15,2012,5,2,0,11.752460984393757,0,Medium
2012-05-03,53172.0,17.0,1581.0,6022.0,21:51:00,13.32,ERCOTWindIntegrationReport_2012.xlsx,4441.0,26.25,2012,5,3,0,33.610619469026545,0,Medium
2012-05-04,53745.0,17.0,3442.0,6345.0,23:53:00,17.31,ERCOTWindIntegrationReport_2012.xlsx,2903.0,54.25,2012,5,4,0,15.609933197792623,0,Medium
2012-05-05,51808.0,17.0,2227.0,6340.0,09:00:00,18.11,ERCOTWindIntegrationReport_2012.xlsx,4113.0,35.13,2012,5,5,1,23.25314183123878,0,Medium
2012-05-06,47509.0,18.0,1497.0,6201.0,00:21:00,17.03,ERCOTWindIntegrationReport_2012.xlsx,4704.0,24.14,2012,5,6,1,31.714953271028037,0,Medium
2012-05-07,52766.0,17.0,4072.0,5270.0,17:13:00,10.16,ERCOTWindIntegrationReport_2012.xlsx,1198.0,77.27,2012,5,0,0,12.955069972992879,0,Low
2012-05-08,39226.0,15.0,2774.0,5043.0,01:55:00,17.35,ERCOTWindIntegrationReport_2012.xlsx,2269.0,55.01,2012,5,1,0,14.135495495495496,0,Medium
2012-05-09,43878.0,18.0,446.0,2339.0,23:18:00,7.1,ERCOTWindIntegrationReport_2012.xlsx,1893.0,19.07,2012,5,2,0,98.16107382550335,0,Low
2012-05-10,38861.0,17.0,3109.0,3679.0,15:01:00,9.52,ERCOTWindIntegrationReport_2012.xlsx,570.0,84.51,2012,5,3,0,12.495498392282958,1,Low
2012-05-11,40616.0,17.0,771.0,2417.0,23:55:00,8.02,ERCOTWindIntegrationReport_2012.xlsx,1646.0,31.9,2012,5,4,0,52.61139896373057,0,Low
2012-05-12,37115.0,17.0,1475.0,2374.0,00:00:00,7.97,ERCOTWindIntegrationReport_2012.xlsx,899.0,62.13,2012,5,5,1,25.145663956639567,0,Low
2012-05-13,38898.0,18.0,627.0,1385.0,23:38:00,4.62,ERCOTWindIntegrationReport_2012.xlsx,758.0,45.27,2012,5,6,1,61.939490445859875,0,Low
2012-05-14,44018.0,17.0,1105.0,1212.0,17:38:00,2.79,ERCOTWindIntegrationReport_2012.xlsx,107.0,91.17,2012,5,0,0,39.7992766726944,1,None
